name,latin_name,image_url
Kleines Sumpfhuhn, Porzana parva,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleines_sumpfhuhn_htalpa.jpg
Kleinspecht, Dryobates minor/Picoides minor,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleinspecht_thermos.jpg
Kohlmeise, Parus major,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kohlmeise___foto_von_enrico_seehawer.jpg
Mäusebussard, Buteo buteo,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/buteo_1-loz.jpg
Mauersegler, Apus Apus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mauerseglerapusapusklausroggel.jpg
Mehlschwalbe, Delichon urbica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mehlschwalbe_delichon_urbicum_estormiz.jpg
Mittelspecht, Leiopicus medicus/Dendrocopus medius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mittelspecht_am_futterring_maren_winter.jpg
Mönchsgrasmücke, Sylvia atricapilla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_moenchsgrasmuecke.jpg
Nachtigall, Luscinia megarhynchos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-oaq0ahe.jpg
Nebelkrähe, Corvus corone corvix,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-nebelkaehe___foto_von_enrico_seehawer.jpg
Neuntöter, Lanius collurio,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-neuntoeter_flkr_sergey_yeliseev.jpg
Pirol Vogel Bülow, Oriolus oriolus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/voegel/pirol_by_michel_idre.jpg
Rabenkrähe, Corvus corone corone,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rabenkraehe_helmut_gevert_mc2zqus.jpg
Rauchschwalbe, Hirundo rustica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_rauchschwalbe.jpg
Reiherente, Aythya fuligula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/letzte-aenderungen/mdb-seehawer_reiherente.jpg
Ringeltaube, Columba palumbus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-ringeltaube_dickdaniels_columba_palumbus.jpg
Rotkehlchen, Erithacus rubecula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rotkehlchen_vollbild.jpg
Saatkrähe, Corvus frugilegus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-saatkraehe_john_haslam.jpg
Schilfrohrsänger, Acrocephalus schoenobaenus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schilfrohrsaenger_acrocephalus_schoenobaenus_gabrielbuissart.jpg
Schwarzspecht, Dryocopus martius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schwarzspecht_frank_vassen.jpg
Schwanzmeise, Aegithalos caudatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/fotostrecken/schwanzmeise_1204610_57923342.jpg
Singdrossel, Turdus philomelos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-singdrossel___foto_von_enrico_seehawer.jpg
Sommergoldhähnchen, Regulus ignicapilla/Regulus ignicapillus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sommergoldh__hnchen_noel_feans.jpg
Sperber, Accipiter nisus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sperber_accipiter_nisus_mike_scott.jpg
Gemeiner Star, Sturnus vulgaris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-star___foto_von_enrico_seehawer.jpg
Stockente, Anas platyrhynchos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_stockente.jpg
Sumpfmeise, Parus palustris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/artenschutz/sumpfmeise_parus_palustris_.jpg
Sumpfrohrsänger, Acrocephalus palustris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sumpfrohrsaenger_jerzystrzelecki.jpg
Tannenmeise, Peripatus ater/Parus ater,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tannenmeise_1072253_ben_avery.jpg
Teichhuhn, Gallinula chloropus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichhuhn_adrian_van_leen_n5x03c8.jpg
Teichrohrsänger, Acrocephalus scirpaceus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichrohrsaenger_acrocephalus_scirpaceus_matthias_barby.jpg
Trauerschnäpper, Ficedula hypoleuca,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-trauerschnaepper_lars_falkdalen_lindahl.jpg
Tüpfelsumpfhuhn, Porzana porzana,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tuepfelsumpfhuhn_marek_szczepanek.jpg
Turmfalke, Falco tinnunculus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-turmfalke_bugdog_742852.jpg
Wacholderdrossel, Turdus pilaris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wacholderdrossel_mpf.jpg
Waldkauz, Strix aluco,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldkauz_nottsexminer.jpg
Waldohreule, Asio otus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldohreule_lukasz_lukasik.jpg
Wanderfalke, Falco peregrinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wanderfalke_georges_lignier.jpg
Wasserralle, Rallus aquaticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wasserralle_pierre_dalous.jpg
Wintergoldhähnchen, Regulus regulus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wintergoldhaehnchen_trzy_hem.jpg
Zaunkönig, Troglodytes troglodytes,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zaunkoenig_joan_kocur_779333.jpg
Zeisig Erlenzeisig, Carduelis spinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zeisig_marek_szczepanek.jpg
Zilpzalp, Phylloscopus collybita,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zilpzalp_aleph.jpg
Zwergsumpfhuhn, Porzana pusilla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergsumpfhuhn__jason_girvan.jpg
Zwergschnäpper, Ficedula parva,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/unterhaltung/zwergschnaepper_suresh_v.s.jpg
Zwergtaucher, Tachybaptus ruficollis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergtaucher_martien_brand.jpg
