name;alt_name;russian_name;wiki_de;latin_name;image_url;inat_id;wiki_en;preferred_name;inat_name
Haubenmeise;;Хохлатая синица;https://de.wikipedia.org/wiki/Haubenmeise;Lophophanus cristatus/Parus cristatus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenmeise_artur_miko__ajewski.jpg;144830;http://en.wikipedia.org/wiki/European_crested_tit;Crested Tit;Lophophanes cristatus
Haubentaucher;;Большая поганка;https://de.wikipedia.org/wiki/Haubentaucher;Podiceps cristatus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubentaucher_dickdaniels.jpg;4208;http://en.wikipedia.org/wiki/Great_crested_grebe;Great Crested Grebe;Podiceps cristatus
Hausrotschwanz;;Горихвостка-чернушка;https://de.wikipedia.org/wiki/Hausrotschwanz;Phoenicurus ochruros;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hausrotschwanz_wikinoby.jpg;13000;http://en.wikipedia.org/wiki/Black_redstart;Black Redstart;Phoenicurus ochruros
Haussperling;Spatz;Домовый воробей;https://de.wikipedia.org/wiki/Haussperling;Passer domesticus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haussperling_iva_villi_ook2mf8.jpg;13858;http://en.wikipedia.org/wiki/House_sparrow;House Sparrow;Passer domesticus
Haustaube;;Сизый голубь;https://de.wikipedia.org/wiki/Haustaube;Columba livia domesticus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haustaube_nrao3t4_sanja_gjenero.jpg;3017;http://en.wikipedia.org/wiki/Rock_dove;Rock Pigeon;Columba livia
Heckenbraunelle;;Лесная завирушка;https://de.wikipedia.org/wiki/Heckenbraunelle;Prunella modularis;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-heckenbraunelle_jim_middleton.jpg;13988;http://en.wikipedia.org/wiki/Dunnock;Dunnock;Prunella modularis
Höckerschwan;;Лебедь-шипун;https://de.wikipedia.org/wiki/H%C3%B6ckerschwan;Cygnus olor;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_hoeckerschwan.jpg;6921;http://en.wikipedia.org/wiki/Mute_swan;Mute Swan;Cygnus olor
Hohltaube;;Клинтух;https://de.wikipedia.org/wiki/Hohltaube;Columba oenas;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hohltaube_chris_cant.jpg;3033;http://en.wikipedia.org/wiki/Stock_dove;Stock Dove;Columba oenas
Klappergrasmücke;;Славка-завирушка;https://de.wikipedia.org/wiki/Klappergrasm%C3%BCcke;Sylvia curruca;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-klappergrasmuecke_steevie.jpg;15288;http://en.wikipedia.org/wiki/Lesser_whitethroat;Lesser Whitethroat;Sylvia curruca
Kleiber;;Поползни;https://de.wikipedia.org/wiki/Kleiber;Sitta europaea;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleiber_kevin_tuck_mgrw1tc.jpg;14799;http://en.wikipedia.org/wiki/Nuthatch;Nuthatches;Sittidae
Kleines Sumpfhuhn;;Малый погоныш;https://de.wikipedia.org/wiki/Kleines%20Sumpfhuhn;Porzana parva;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleines_sumpfhuhn_htalpa.jpg;508919;http://en.wikipedia.org/wiki/Little_crake;Little Crake;Zapornia parva
Kleinspecht;;Малый пёстрый дятел;https://de.wikipedia.org/wiki/Kleinspecht;Dryobates minor/Picoides minor;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleinspecht_thermos.jpg;792977;http://en.wikipedia.org/wiki/Lesser_spotted_woodpecker;Lesser Spotted Woodpecker;Dryobates minor
Kohlmeise;;Большая синица;https://de.wikipedia.org/wiki/Kohlmeise;Parus major;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kohlmeise___foto_von_enrico_seehawer.jpg;203153;http://en.wikipedia.org/wiki/Great_tit;Great Tit;Parus major
Mäusebussard;;Обыкновенный канюк;https://de.wikipedia.org/wiki/M%C3%A4usebussard;Buteo buteo;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/buteo_1-loz.jpg;204472;http://en.wikipedia.org/wiki/Common_buzzard;Common Buzzard;Buteo buteo
Mauersegler;;Чёрный стриж;https://de.wikipedia.org/wiki/Mauersegler;Apus Apus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mauerseglerapusapusklausroggel.jpg;6638;http://en.wikipedia.org/wiki/Common_swift;Common Swift;Apus apus
Mehlschwalbe;;Городская ласточка;https://de.wikipedia.org/wiki/Mehlschwalbe;Delichon urbica;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mehlschwalbe_delichon_urbicum_estormiz.jpg;64705;http://en.wikipedia.org/wiki/Common_house_martin;Common House Martin;Delichon urbicum
