name,alt_name,russian_name,wiki_de,latin_name,image_url
Neuntöter,,Обыкновенный жулан,https://de.wikipedia.org/wiki/Neunt%C3%B6ter,Lanius collurio,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-neuntoeter_flkr_sergey_yeliseev.jpg
Pirol,Vogel Bülow,Обыкновенная_иволга,https://de.wikipedia.org/wiki/Vogel%20B%C3%BClow,Oriolus oriolus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/voegel/pirol_by_michel_idre.jpg
Rabenkrähe,,Серая ворона,https://de.wikipedia.org/wiki/Rabenkr%C3%A4he,Corvus corone corone,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rabenkraehe_helmut_gevert_mc2zqus.jpg
Rauchschwalbe,,Деревенская ласточка,https://de.wikipedia.org/wiki/Rauchschwalbe,Hirundo rustica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_rauchschwalbe.jpg
Reiherente,,Хохлатая чернеть,https://de.wikipedia.org/wiki/Reiherente,Aythya fuligula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/letzte-aenderungen/mdb-seehawer_reiherente.jpg
Ringeltaube,,Вяхирь,https://de.wikipedia.org/wiki/Ringeltaube,Columba palumbus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-ringeltaube_dickdaniels_columba_palumbus.jpg
Rotkehlchen,,Зарянка,https://de.wikipedia.org/wiki/Rotkehlchen,Erithacus rubecula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rotkehlchen_vollbild.jpg
Saatkrähe,,Грач,https://de.wikipedia.org/wiki/Saatkr%C3%A4he,Corvus frugilegus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-saatkraehe_john_haslam.jpg
Schilfrohrsänger,,Камышовка-барсучок,https://de.wikipedia.org/wiki/Schilfrohrs%C3%A4nger,Acrocephalus schoenobaenus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schilfrohrsaenger_acrocephalus_schoenobaenus_gabrielbuissart.jpg
Schwarzspecht,,Желна,https://de.wikipedia.org/wiki/Schwarzspecht,Dryocopus martius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schwarzspecht_frank_vassen.jpg
Schwanzmeise,,Длиннохвостая синица,https://de.wikipedia.org/wiki/Schwanzmeise,Aegithalos caudatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/fotostrecken/schwanzmeise_1204610_57923342.jpg
Singdrossel,,Певчий дрозд,https://de.wikipedia.org/wiki/Singdrossel,Turdus philomelos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-singdrossel___foto_von_enrico_seehawer.jpg
Sommergoldhähnchen,,Красноголовый королёк,https://de.wikipedia.org/wiki/Sommergoldh%C3%A4hnchen,Regulus ignicapilla/Regulus ignicapillus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sommergoldh__hnchen_noel_feans.jpg
Sperber,,Ястреб-перепелятник,https://de.wikipedia.org/wiki/Sperber,Accipiter nisus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sperber_accipiter_nisus_mike_scott.jpg
Gemeiner Star,,Обыкновенный скворец,https://de.wikipedia.org/wiki/Gemeiner%20Star,Sturnus vulgaris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-star___foto_von_enrico_seehawer.jpg
Stockente,,Кряква,https://de.wikipedia.org/wiki/Stockente,Anas platyrhynchos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_stockente.jpg
Sumpfmeise,,Черноголовая гаичка,https://de.wikipedia.org/wiki/Sumpfmeise,Parus palustris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/artenschutz/sumpfmeise_parus_palustris_.jpg
